Major,Class Name,Class Code,Instructor,Location,Days & Times
Child and Adolescent Developme,CHAD  491 - Children | Adolescents | and Social Policy,43066,Aleksandria Grabow,Academic Hall 411B,Tu 1:00PM - 3:50PM
Child and Adolescent Developme,CHAD  491 - Children | Adolescents | and Social Policy,43104,Aleksandria Grabow,Soc & Behavioral Sci Bldg 3127,Tu 4:00PM - 6:50PM
Child and Adolescent Developme,CHAD  496 - Observation and Assessment Laboratory in Child and Adolescent Development,43069,Allison Jobin,Soc & Behavioral Sci Bldg 1101,Tu 9:00AM - 11:50AM
Child and Adolescent Developme,CHAD  496 - Observation and Assessment Laboratory in Child and Adolescent Development,43099,Yu Zhang,Soc & Behavioral Sci Bldg 1101,We 8:30AM - 11:20AM
Child and Adolescent Developme,CHAD  496 - Observation and Assessment Laboratory in Child and Adolescent Development,43101,Yu Zhang,Soc & Behavioral Sci Bldg 1101,Th 9:00AM - 11:50AM
Communication,COMM  390 - Research Methods and Design,41593,Katherine Brown,University Hall 443,MoWe 2:30PM - 3:45PM
Communication,COMM  444 - Narratives in Organizations,41510,Katherine Brown,University Hall 443,Mo 11:30AM - 2:20PM
Computer Information Systems,CIS  100 - Introduction to Computer Information Systems,42847,Jing Hou,Markstein Hall 309,Tu 10:00AM - 10:50AM
Computer Science,CS  111 - Computer Science I,42599,Youwen Ouyang,Viasat Engineering Pav 5101,MoWeFr 10:30AM - 11:20AM
Computer Science,CS  111 - Computer Science I,42848,Youwen Ouyang,Academic Hall 206,MoWeFr 12:30PM - 1:20PM
Computer Science,CS  111 - Computer Science I,42601,Michael Tutberidze,Viasat Engineering Pav 5101,TuTh 7:30AM - 8:45AM
Computer Science,CS  111 - Computer Science I,42602,Kazumi Slott,Science Hall II 302,TuTh 10:30AM - 11:45AM
Computer Science,CS  111 - Computer Science I,42603,Kazumi Slott,Science Hall II 302,TuTh 1:00PM - 2:15PM
Computer Science,CS  111 - Computer Science I,42604,Kazumi Slott,Viasat Engineering Pav 5101,MoWeFr 9:30AM - 10:20AM
Computer Science,CS  111 - Computer Science I,42605,Kazumi Slott,Science Hall II 302,MoWeFr 10:30AM - 11:20AM
Computer Science,CS  111 - Computer Science I,42606,Kazumi Slott,Science Hall II 302,MoWeFr 11:30AM - 12:20PM
Computer Science,CS  111 - Computer Science I,42607,Lanier Castillo,Viasat Engineering Pav 5101,MoWeFr 8:30AM - 9:20AM
Computer Science,CS  111 - Computer Science I,42609,Lanier Castillo,Science Hall II 302,MoWeFr 9:30AM - 10:20AM
Computer Science,CS  201 - Introduction to Data Science for Social Scientists,42773,Youwen Ouyang,University Hall 272,MoWe 2:30PM - 3:45PM
Computer Science,CS  211 - Computer Science II,42614,Rika Yoshii,Viasat Engineering Pav 5101,TuTh 10:30AM - 11:45AM
Computer Science,CS  211 - Computer Science II,42616,Michael Tutberidze,University Hall 272,TuTh 1:00PM - 2:15PM
Computer Science,CS  211 - Computer Science II,42617,Michael Tutberidze,Viasat Engineering Pav 5107,TuTh 5:30PM - 6:45PM
Computer Science,CS  211 - Computer Science II,42618,Lanier Castillo,Viasat Engineering Pav 5101,MoWeFr 11:30AM - 12:20PM
Computer Science,CS  211 - Computer Science II,42620,Lanier Castillo,University Hall 272,MoWeFr 12:30PM - 1:20PM
Computer Science,CS  231 - Assembly Language and Digital Circuits,42339,Sahar Mosleh,Viasat Engineering Pav 5101,MoWeFr 12:30PM - 1:20PM
Computer Science,CS  231 - Assembly Language and Digital Circuits,42340,Sahar Mosleh,Science Hall II 302,MoWe 4:00PM - 5:15PM
Computer Science,CS  231 - Assembly Language and Digital Circuits,42346,Sahar Mosleh,Science Hall II 302,MoWe 5:30PM - 6:45PM
Computer Science,CS  321 - Programming For Data Science,42853,Sreedevi Gutta,Academic Hall 206,MoWeFr 10:30AM - 11:20AM
Computer Science,CS  331 - Computer Architecture,44123,Marcus Chen,Markstein Hall 102,TuTh 5:30PM - 6:45PM
Computer Science,CS  370 - Introduction to Software Engineering,42789,Yang Yue,Academic Hall 205,MoWe 11:30AM - 12:20PM
Computer Science,CS  370 - Introduction to Software Engineering,42790,Yang Yue,University Hall 272,MoWe 5:30PM - 6:45PM
Computer Science,CS  500 - Research Preparation in Computer Science,42068,Md Lutfor Rahman,Academic Hall 405,Mo 11:30AM - 12:20PM
Computer Science,CS  512 - Introduction to Data Mining,42076,Ahmad Hadaegh,Academic Hall 209,MoWe 5:30PM - 6:45PM
Computer Science,CS  537 - Data Communication and Computer Networks,41968,Nahid Ebrahimi Majd,Academic Hall 206,TuTh 9:00AM - 10:15AM
Computer Science,CS  542 - Design Patterns and Object-Oriented Analysis,41969,Yongjie Zheng,University Hall 272,TuTh 2:30PM - 3:45PM
Computer Science,CS  650 - Usable Security and Privacy,42859,Md Lutfor Rahman,Markstein Hall 208,MoWeFr 10:30AM - 11:20AM
Dance,DNCE  101 - Introduction to Dance,43730,Cuauhtemoc Peranda,Arts Building 101,Mo 4:00PM - 6:50PM
Dance,DNCE  311 - Movement Improvisation,41197,Nhu Nguyen,Arts Building 101,TuTh 10:00AM - 10:50AM
Dance,DNCE  311 - Movement Improvisation,41198,Nhu Nguyen,Arts Building 101,TuTh 11:00AM - 11:50AM
Economics,ECON  202 - Principles of Macroeconomics,40604,Tahmina Morshed,Kellogg Library 1111,Fr 11:30AM - 2:20PM
Economics,ECON  301 - Intermediate Microeconomic Theory I,41425,Quinn Keefer,Soc & Behavioral Sci Bldg 2140,Mo 4:00PM - 6:50PM
Economics,ECON  302 - Intermediate Macroeconomic Theory,40605,Roger Arnold,Soc & Behavioral Sci Bldg 2140,Fr 9:30AM - 12:20PM
Economics,ECON  325 - Economics of the Environment and Natural Resources,41309,Robert Brown,Soc & Behavioral Sci Bldg 2140,We 9:30AM - 12:20PM
Economics,ECON  420 - Urban and Regional Economics,43864,Erica Freer,University Hall 440,TuTh 10:30AM - 11:45AM
Economics,ECON  441 - International Economics: Trade,43862,Ranjeeta Basu,Soc & Behavioral Sci Bldg 2140,TuTh 5:30PM - 6:45PM
Economics,ECON  471 - Econometrics,41426,Kaitlyn Woltz,Academic Hall 405,Tu 1:00PM - 3:50PM
Economics,ECON  471 - Econometrics,41427,Kaitlyn Woltz,Academic Hall 209,Th 2:00PM - 3:50PM
Educ Mult Subj Except Learners,EDMX  575 - Education Specialist - Transition Development Plan Seminar,40207,Shannon McAndrews,Synchronous Virtual Instr,Th 5:00PM - 6:50PM
Educ Mult Subj Except Learners,EDMX  627 - Assessment for Planning and Instruction,40259,Jodi Robledo,University Hall 444,We 5:30PM - 8:20PM
Educ Mult Subj Except Learners,EDMX  631 - Foundations in Law | Ethics | and Procedures of Special Education,40208,Jodi Robledo,University Hall 444,Mo 5:30PM - 8:20PM
Education,EDUC  364 - The Role of Cultural Diversity in Schooling,40397,Suzi Van Steenbergen,Markstein Hall 310,Mo 5:30PM - 8:20PM
Education,EDUC  364 - The Role of Cultural Diversity in Schooling,43602,Grace McField,Synchronous Virtual Instr,Th 5:30PM - 8:20PM
Education,EDUC  380 - Applied Child and Youth Development,43241,Jon Centofranchi,Markstein Hall 208,MoWe 9:00AM - 10:15AM
Education,EDUC  622 - Research Methods in Education,43928,Rebecca Brooks,Synchronous Virtual Instr,We 5:30PM - 8:20PM
Education,EDUC  653 - Biliteracy Education I: Contexts for Learning,40230,Ana Hernandez,Synchronous Virtual Instr,Mo 5:30PM - 8:20PM
Education,EDUC  653 - Biliteracy Education I: Contexts for Learning,40235,Ana Hernandez,Synchronous Virtual Instr,We 5:30PM - 8:20PM
Education Math and Science,EDST  450 - Undergraduate Mathematics and Science Teaching and Learning | Theory and Practice,40493,Debbie DeRoma,Markstein Hall 208,Tu 5:30PM - 6:20PM
Education Multiple Subject,EDMS  511 - Elementary Teaching and Learning I,40239,Julie Harris Neiger,University Hall 444,Tu 9:00AM - 11:50AM
Education Multiple Subject,EDMS  511 - Elementary Teaching and Learning I,40240,Julie Harris Neiger,University Hall 444,Mo 1:00PM - 3:50PM
Education Multiple Subject,EDMS  511 - Elementary Teaching and Learning I,40251,Cassiopeia Guthrie,Mt San Jacinto College 219,Mo 9:00AM - 11:50AM
Education Multiple Subject,EDMS  521 - Elementary Literacy I,40241,Elizabeth Garza,Synchronous Virtual Instr,Mo 1:00PM - 3:50PM
Education Multiple Subject,EDMS  521 - Elementary Literacy I,40242,Elizabeth Garza,Synchronous Virtual Instr,Tu 9:00AM - 11:50AM
